,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
3,,,,,,,,,,,,,,,,,,,,,1316,,,,,,,FORBES~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1316,,,,,,,PINTO~,,,,,
0,,,,,,,,,,,,,,,,,,,,,1317,,,,,,,HERRYMAN,,,,,
1,,,,,,,,,,,,,,,,,,,,,1317,,,,,,,BROWN-1,,,,,
2,,,,,,,,,,,,,,,,,,,,,1317,,,,,,,REYNOLDSON,,,,,
3,,,,,,,,,,,,,,,,,,,,,1317,,,,,,,FORBES~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1317,,,,,,,PINTO~,,,,,
0,,,,,,,,,,,,,,,,,,,,,1318,,,,,True,,HERRYMAN,,,,,
1,,,,,,,,,,,,,,,,,,,,,1318,,,,,,,BROWN-1,,,,,
2,,,,,,,,,,,,,,,,,,,,,1318,,,,,,,REYNOLDSON,,,,,
3,,,,,,,,,,,,,,,,,,,,,1318,,,,,,,FORBES~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1318,,,,,,,PINTO~,,,,,
0,,,,,,,,,,,,,,,,,,,,,1319,,,,,,,HERRYMAN,,,,,
1,,,,,,,,,,,,,,,,,,,,,1319,,,,,,,BROWN-1,,,,,
2,,,,,,,,,,,,,,,,,,,,,1319,,,,,,,REYNOLDSON,,,,,
3,,,,,,,,,,,,,,,,,,,,,1319,,,,,,,FORBES~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1319,,,,,,,PINTO~,,,,,
0,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,HERRYMAN,,,,,
1,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,BROWN-1,,,,,
2,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,REYNOLDSON,,,,,
3,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,FORBES~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,PINTO~,,,,,
0,,,,,,,,,,,,ARNOLD,,GIARDINI,,,,,,,1329,,,DUPUIS,,,,HAYES-1,,,,,
1,,,,,,,,,,,,,,,,,,,,,1329,,,,,,,WEICHSELL~f,,,,,
2,,,,,,,,,,,,,,,,,,,,,1329,,,,,,,SCOTT~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1329,,,,,,,CHAMPNESS,,,,,
0,,,,,,,,,,,,ALESSANDRI,,,,,,,,,1330,,,,,True,,GORI,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1331,,,,,,,,,,,,
0,,,,,,,,GIARDINI,,,,,,,,,,,,,1333,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1334,,,,,,,,,,,,
0,,,,,,,,VENTO,,,,,,,,,,,,,1335,,,,,,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1336,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1337,,,,,True,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1338,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1339,,,,,,,JEWELL~,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1339,,,,,,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1340,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1341,,,,,,,,,,,,
0,,,D'ARCIS,,,,,,,,,,,,,,,,,,1342,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1343,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1343,,,,,,,GRASSI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,1343,,,,,,,GUGLIELMI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1343,,,,,,,BIANCHI-2,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1344,,,,,,,,,,,,
0,,,,,,,,TOMS,,,,,,GIARDINI,,,,,True,,1345,,,,,True,,REINHOLD,,,,,
1,,,,,,,,ARNOLD,,,,,,,,,,,,,1345,,,,,,,VERNON,,,,,
2,,,,,,,,,,,,,,,,,,,,,1345,,,,,,,MATTOCKS~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1345,,,,,,,BARTHELEMON~m,,,,,
4,,,,,,,,,,,,,,,,,,,,,1345,,,,,,,TENDUCCI,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1346,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1347,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1348,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1349,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1349,,,,,,,SAVOI,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1350,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1351,,,,,True,,,,,,,
0,,,ARNE-ta,,,,,,,,,,,,,,,,,,1352,,,,,True,,BROWN-1,,,,,
1,,,,,,,,,,,,,,,,,,,,,1352,,,,,,,WELLER~,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1353,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1354,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1355,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1356,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1356,,,,,,,SAVOI,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1357,,,,,True,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1358,,,,,,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1359,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1360,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1361,,,,,True,,,,,,,
0,,,,,,,,,,,,,,KAMMELL,,,,,,,1362,,,,,True,,BROWN-1,,,,,
0,,,,,,,,,,,,,,,,,,,,,1363,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1363,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1363,,,,,,,GUGLIELMI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1363,,,,,,,PIATTI,,,,,
4,,,,,,,,,,,,,,,,,,,,,1363,,,,,,,MORIGI-a2,,,,,
5,,,,,,,,,,,,,,,,,,,,,1363,,,,,,,BIANCHI-2,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1364,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1365,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1366,,,,,,,FEDELI,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1367,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1368,,,,,True,,,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,1369,,,,,,,GIUSTINELLI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1369,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1370,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1370,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1370,,,,,,,MORIGI-a2,,,,,
3,,,,,,,,,,,,,,,,,,,,,1370,,,,,,,BIANCHI-2,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1371,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1372,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1373,,,,,,,HIS,,,,,
1,,,,,,,,,,,,,,,,,,,,,1373,,,,,,,SCHOLARS,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1374,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1375,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1376,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1377,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1377,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1377,,,,,,,MORIGI-a2,,,,,
3,,,,,,,,,,,,,,,,,,,,,1377,,,,,,,BIANCHI-2,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1379,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1380,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1380,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1381,,,ARNOLD,,,,BARTHELEMON~m,,,,,
1,,,,,,,,,,,,,,,,,,,,,1381,,,,,,,HAYES-1,,,,,
0,,,,,,,,,,,,,,,,,,,,,1383,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1383,,,,,,,GRASSI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,1383,,,,,,,GUGLIELMI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1383,,,,,,,BIANCHI-2,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1384,,,,,,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1384,,,,,,,VERNON,,,,,
2,,,,,,,,,,,,,,,,,,,,,1384,,,,,,,CHAMPNESS,,,,,
3,,,,,,,,,,,,,,,,,,,,,1384,,,,,,,MATTOCKS~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1384,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1385,,,,,,,,,,,,
0,,,,,,,,GIARDINI,,,,,,,,,,,,,1386,,,,,True,,SCHOLAR_OF_VENTO,,,,,
1,,,,,,,,VENTO,,,,,,,,,,,,,1386,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1388,,,,,True,,GIUSTINELLI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1388,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1390,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1391,,,,,,,GIUSTINELLI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1391,,,,,,,BASSANESE,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1392,,,,,,,,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1392,,,,,,,,,,,,
0,,,,,,,,GIARDINI,,,,,,GIARDINI,,,,,,,1393,,,,,,,GUADAGNI,,,,,
1,,,,,,,,ARNOLD,,,,,,,,,,,,,1393,,,,,,,VERNON,,,,,
2,,,,,,,,,,,,,,,,,,,,,1393,,,,,,,CHAMPNESS,,,,,
3,,,,,,,,,,,,,,,,,,,,,1393,,,,,,,SCOTT~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1393,,,,,,,FRASI~,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1394,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1395,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1395,,,,,,,OPERA_SINGERS,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1396,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1397,,,,,,,,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1397,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,BARTHELEMON,,,,,,,1398,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1398,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1399,,,,,,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,1399,,,,,,,THOMPSON~j,,,,,
2,,,,,,,,,,,,,,,,,,,,,1399,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1401,,,,,True,,DIBDIN,,,,,
1,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,BANNISTER,,,,,
2,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,BADDELEY~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1401,,,,,,,THOMPSON~j.],,,,,
0,,,,,,,,,,,,,,,,,,,,,1402,,,,,,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,1402,,,,,,,BANNISTER,,,,,
2,,,,,,,,,,,,,,,,,,,,,1402,,,,,,,CHENEY,,,,,
3,,,,,,,,,,,,,,,,,,,,,1402,,,,,,,THOMPSON~j,,,,,
4,,,,,,,,,,,,,,,,,,,,,1402,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,GIARDINI,,,,,,,,,,,,,1403,,,,,,,,,,,,
0,,,,,,,,ARNE-ta,,,,,,,,,,,,,1404,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1405,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1406,,,,,True,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,BANNISTER,,,,,
2,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,THOMPSON~j,,,,,
3,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,DORMAN~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,BARTHELEMON~m.],,,,,
5,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,V,,,,,
6,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,CHENEY,,,,,
7,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1407,,,,,True,,CHENEY,,,,,
1,,,,,,,,,,,,,,,,,,,,,1407,,,,,,,REINHOLD,,,,,
2,,,,,,,,,,,,,,,,,,,,,1407,,,,,,,THOMPSON~j,,,,,
3,,,,,,,,,,,,,,,,,,,,,1407,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1408,,,,,,,BANNISTER,,,,,
1,,,,,,,,,,,,,,,,,,,,,1408,,,,,,,REINHOLD,,,,,
2,,,,,,,,,,,,,,,,,,,,,1408,,,,,,,CHENEY.],,,,,
0,,,,,,,,,,,,,,,,,,,,,1409,,,,,True,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,1409,,,,,,,BANNISTER,,,,,
2,,,,,,,,,,,,,,,,,,,,,1409,,,,,,,CHENEY,,,,,
3,,,,,,,,,,,,,,,,,,,,,1409,,,,,,,THOMPSON~j,,,,,
4,,,,,,,,,,,,,,,,,,,,,1409,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1410,,,,,,,CHENEY,,,,,
1,,,,,,,,,,,,,,,,,,,,,1410,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1411,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1412,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1413,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1414,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1415,,,,,True,,YOUNG_GENTLEWOMAN,,,,,
0,,,,,,,,,,,,,,,,,,,,,1416,,,,,True,,CHENEY,,,,,
1,,,,,,,,,,,,,,,,,,,,,1416,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1419,,,,,True,,CHENEY,,,,,
1,,,,,,,,,,,,,,,,,,,,,1419,,,,,,,BARTHELEMON,,,,,
0,,,,,,,,,,,,,,,,,,,,,1420,,,,,True,,CHENEY,,,,,
1,,,,,,,,,,,,,,,,,,,,,1420,,,,,,,TWO_YOUNG_LADIES,,,,,
2,,,,,,,,,,,,,,,,,,,,,1420,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,1421,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1423,,,,,,,CHENEY,,,,,
1,,,,,,,,,,,,,,,,,,,,,1423,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,ARNOLD,,,,,,HAY-r,,,,,,,1424,,,DUPUIS,,,,VERNON,,,,,
1,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,REINHOLD,,,,,
2,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,SCOTT~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1428,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1429,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,GRASSI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,GUGLIELMI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,BARTHELEMON~m,,,,,
5,,,,,,,,,,,,,,,,,,,,,1429,,,,,,,MORIGI-a2,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1430,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1431,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,GRASSI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,GUGLIELMI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,BARTHELEMON~m,,,,,
5,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,MORIGI-a2,,,,,
0,,,,,,,,GIARDINI,,,,,,,,,,,,,1432,,,,,,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1433,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1434,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1434,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1434,,,,,,,GRASSI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1434,,,,,,,GUGLIELMI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1434,,,,,,,BARTHELEMON~m,,,,,
5,,,,,,,,,,,,,,,,,,,,,1434,,,,,,,MORIGI-a2,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1439,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1440,,,,,True,,,,,,,
0,,,,,,,,STANLEY,,,,,,BARTHELEMON,,,,,,,1442,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,SMITH-jc,,,,,,,,,,,,,1442,,,,,,,NORRIS,,,,,
2,,,,,,,,,,,,,,,,,,,,,1442,,,,,,,PARRY-2,,,,,
3,,,,,,,,,,,,,,,,,,,,,1442,,,,,,,SCOTT~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1442,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,,,,,,,,,,,,,,1443,,,,,True,,GUADAGNI,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1445,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1447,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1449,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1450,,,,,True,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1451,,,,,True,,TENDUCCI,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1452,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1453,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,1454,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,GRASSI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,GUGLIELMI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,BARTHELEMON~m,,,,,
5,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,MORIGI-a2,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1455,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1456,,,,,True,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1457,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1458,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1459,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,1460,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,SAVOI,,,,,
2,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,GRASSI~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,GUGLIELMI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,BARTHELEMON~m,,,,,
5,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,MORIGI-a2,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1461,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1462,,,,,True,,,,,,,
0,,,,,,,,,,,,,,KAMMELL,,,,,,,1463,,,,,True,,THOMAS~,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1464,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1465,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,1466,,,,,,,,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,1467,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1468,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1469,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1470,,,,,True,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1472,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1473,,,,,,,,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,1475,,,,,,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,1476,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1477,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1479,,,,,True,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1480,,,,,,,,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,1481,,,,,,,,,,,,
0,,,,,,,,ARNE-ta,,,,,,,,,,,,,1482,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1483,,,,,True,,THOMAS~,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1484,,,,,,,,,,,,
0,,,,,,,,GIARDINI,,,,,,,,,,,,,1485,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1485,,,,,,,LIONI~,,,,,
0,,,,,,,,STANLEY,,,,,,,,,,,,,1486,,,,,True,,VERNON,,,,,
1,,,,,,,,,,,,,,,,,,,,,1486,,,,,,,CHAMPNESS,,,,,
2,,,,,,,,,,,,,,,,,,,,,1486,,,,,,,SCOTT~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1486,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,,,,BROMLEY,,,,,,,,,,1487,,,,,,,,,,,,
0,,,,,,,,BACH,WENDLING,,,,FISCHER,,,,,,,,1488,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,ABEL,,,,,CIRRI,,,,,,,,1488,,,,,,,,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,1489,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1490,,,,,,,,,,,,
0,,,,,,,,GIARDINI,,,,,,,,,,,,,1491,,,,,True,,,,,,,
0,,,,,,,,,,,BROMLEY,,,,,,,,,,1492,,,,,,,,,,,,
0,,,,,,,,ABEL,,,,,,,,,,,,,1493,,,,,,,,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,1494,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1494,,,,,,,VERNON,,,,,
2,,,,,,,,,,,,,,,,,,,,,1494,,,,,,,REINHOLD,,,,,
3,,,,,,,,,,,,,,,,,,,,,1494,,,,,,,MATTOCKS~,,,,,
4,,,,,,,,,,,,,,,,,,,,,1494,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1495,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1495,,,,,,,GUGLIELMI~,,,,,
0,,,GIARDINI,,,,,,,,,,,,,,,,,,1496,,,ARNOLD,,,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,1496,,,,,,,HAYES-1,,,,,
2,,,,,,,,,,,,,,,,,,,,,1496,,,,,,,REINHOLD,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1497,,,,,,,,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1498,,,,,True,,,,,,,
0,,,,,,,,,,,,,,KAMMELL,,,,,,,1499,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,BACH,,,,,,,,,,,,,1500,,,,,True,,GUADAGNI,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1500,,,,,,,WEICHSELL~f,,,,,
0,,,,,,,,BACH,,,,,,LAHOUSSAYE,,,,,,,1501,,,,,True,,OPERA_SINGERS,,,,,
1,,,,,,,,ABEL,,,,,,,,,,,,,1501,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1502,,,,,True,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,BANNISTER,,,,,
2,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,THOMPSON~j,,,,,
3,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,THOMAS~.],,,,,
4,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,V,,,,,
5,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,THOMPSON~j,,,,,
6,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,YOUNG_LADY,,,,,
7,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,(NEVER,,,,,
8,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,IN,,,,,
9,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,PUBLIC,,,,,
10,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,BEFORE),,,,,
0,,,,,,,,,,,,,,,,,,,,True,1503,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,1504,,,,,True,,REINHOLD,,,,,
1,,,,,,,,,,,,,,,,,,,,,1504,,,,,,,BANNISTER,,,,,
2,,,,,,,,,,,,,,,,,,,,,1504,,,,,,,HARPER~,,,,,
3,,,,,,,,,,,,,,,,,,,,,1504,,,,,,,THOMAS~,,,,,
0,,,,,,,,,,,,,,,,,,,,,1505,,,,,True,,REINHOLD,,,,,
