,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
0,,,,,,,,HANDEL,,,,,,,,,,,,,43,,,,,,,GUADAGNI,,,,,
1,,,,,,,,,,,,,,,,,,,,,43,,,,,,,LOWE,,,,,
2,,,,,,,,,,,,,,,,,,,,,43,,,,,,,BOYS_OF_cr,,,,,
0,,,,,,,,,,,,,,,,,,,,,44,,,,,,,TALBOT~,,,,,
0,,,,,,,,,,,,,,,,,,,,,45,,,,,,,CUZZONI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,46,,,,,,,CUZZONI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,47,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,48,,,,,,,LOWE,,,,,
1,,,,,,,,,,,,,,,,,,,,,48,,,,,,,FALKNER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,48,,,,,,,PHILLIPS-1,,,,,
0,,,,,,,,,,,,,,FESTING,,,,,,,49,,,,,True,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,50,,,,,True,,LOWE,,,,,
1,,,,,,,,,,,,,,,,,,,,,50,,,,,,,FALKNER~,,,,,
0,,,,,,,,,,,,,,,,,,,,,53,,,,,,,TURNER~e,,,,,
0,,,,,,,,,,,,,,JACKSON-1,,,,,,,55,,,,,True,,LARKEN~,,,,,
0,,,,,,,,,,,,,,COLLETT-r,,,,,,,56,,,,,,,STEVENSON~,,,,,
0,,,,,,,,,,,,,,,,,,,,,57,,,,,True,,,,,,,
0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,59,,,,,,,ROBINSON~1,,,,,
1,,,,,,,,,,,,,VINCENT-T,,,,,,,,59,,,,,,,,,,,,
2,,,,,,,,,,,,,PASQUALINO,,,,,,,,59,,,,,,,,,,,,
3,,,,,,,,,,,,,MILLER-j,,,,,,,,59,,,,,,,,,,,,
0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,62,,,,,,,ROBINSON~1,,,,,
1,,,,,,,,,,,,,VINCENT-T,,,,,,,,62,,,,,,,,,,,,
2,,,,,,,,,,,,,PASQUALINO,,,,,,,,62,,,,,,,,,,,,
3,,,,,,,,,,,,,MILLER-j,,,,,,,,62,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,63,,,,,True,,,,,,,
0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,64,,,,,,,ROBINSON~1,,,,,
1,,,,,,,,,,,,,VINCENT-T,,,,,,,,64,,,,,,,,,,,,
2,,,,,,,,,,,,,PASQUALINO,,,,,,,,64,,,,,,,,,,,,
3,,,,,,,,,,,,,MILLER-j,,,,,,,,64,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,65,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,65,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,66,,,,,,,CUZZONI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,66,,,,,,,THUMOTH,,,,,
0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,67,,,,,,,ROBINSON~1,,,,,
1,,,,,,,,,,,,,VINCENT-T,,,,,,,,67,,,,,,,,,,,,
2,,,,,,,,,,,,,PASQUALINO,,,,,,,,67,,,,,,,,,,,,
3,,,,,,,,,,,,,MILLER-j,,,,,,,,67,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,68,,,,,,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,68,,,,,,,TURNER~1,,,,,
0,,,,,,,,,,,,,,FESTING,,,,,,,69,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,70,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,71,,,,,,,THUMOTH,,,,,
1,,,,,,,,,,,,,,,,,,,,,71,,,,,,,FALKNER~,,,,,
