Num,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN,GU,PSALTERY
1.0,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,PALMA-1,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,MANFREDINI,,,,,,,
0.0,,,,,,,,HANDEL,,,,,,,,,,,,,40.0,,,HANDEL,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,FALKNER~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,TALBOT~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,THUMOTH,,,,,,,
0.0,,,,,,,,HANDEL,,,,,,,,,,,,,43.0,,,,,,,GUADAGNI,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,LOWE,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,BOYS_OF_cr,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,TALBOT~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,CUZZONI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,CUZZONI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,47.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,48.0,,,,,,,LOWE,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,FALKNER~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,PHILLIPS-1,,,,,,,
0.0,,,,,,,,,,,,,,FESTING,,,,,,True,49.0,,,,,False,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,50.0,,,,,False,,LOWE,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,50.0,,,,,False,,FALKNER~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,TURNER~e,,,,,,,
0.0,,,,,,,,,,,,,,JACKSON-1,,,,,,,55.0,,,,,False,,LARKEN~,,,,,,,
0.0,,,,,,,,,,,,,,COLLETT-r,,,,,,,56.0,,,,,,,STEVENSON~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,57.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,59.0,,,,,,,ROBINSON~1,,,,,,,
1.0,,,,,,,,,,,,,VINCENT-T,,,,,,,,59.0,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,PASQUALINO,,,,,,,,59.0,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,MILLER-j,,,,,,,,59.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,62.0,,,,,,,ROBINSON~1,,,,,,,
1.0,,,,,,,,,,,,,VINCENT-T,,,,,,,,62.0,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,PASQUALINO,,,,,,,,62.0,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,MILLER-j,,,,,,,,62.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,64.0,,,,,,,ROBINSON~1,,,,,,,
1.0,,,,,,,,,,,,,VINCENT-T,,,,,,,,64.0,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,PASQUALINO,,,,,,,,64.0,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,MILLER-j,,,,,,,,64.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,CUZZONI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,THUMOTH,,,,,,,
0.0,,,,,,,,,,,,ROBINSON~1,FESTING,,,,,,,,67.0,,,,,,,ROBINSON~1,,,,,,,
1.0,,,,,,,,,,,,,VINCENT-T,,,,,,,,67.0,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,PASQUALINO,,,,,,,,67.0,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,MILLER-j,,,,,,,,67.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,TURNER~e,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,TURNER~1,,,,,,,
0.0,,,,,,,,,,,,,,FESTING,,,,,,,69.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,71.0,,,,,,,THUMOTH,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,FALKNER~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,72.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,76.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,COLLETT-r,,,,,,,78.0,,,,,False,,STEVENSON~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,79.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,80.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,82.0,,,,,False,,FRASI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,83.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,84.0,,,,,False,,NORRIS~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,GUADAGNI,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,LOWE,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,GALLI~,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,REINHOLD,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,COX-1,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,86.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,87.0,,,,,False,,WALTZ,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,87.0,,,,,False,,YOUNG~I,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,88.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,89.0,,,,,False,,THUMOTH,,,,,,,
0.0,,,,,,,,HANDEL,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,THUMOTH,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,96.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,97.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,PINTO,,,,,,,99.0,,,,,False,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,99.0,,,,,False,,BEARD,,,,,,,
