,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
1647,1648,HAY,HAY ORATORIO 73 [4TH],OS,B 5s; P 3s; FG 2s; SG 1s,ARNOLD o ^THE_PRODIGAL_SON^ <ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. SL VN AGUS-j; CN CL MAHON.,PA,,[LS.],1773-03-10 18:30:00
1648,1649,DL,DL ORATORIO 73 [5TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,handel o ^L'ALLEGRO^ [PARTS1-2]; HANDEL o ^DETTINGEN_TE_DEUM^. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2. END PART1: CN VN LINLEY-T2 <THOMAS_LINLEY>.,PA,,[LS; Burrows-Harris 720.],1773-03-12 18:30:00
1649,1650,CG,CG ORATORIO 73 [5TH],OS,P 5s; B 4s; FG 3s; SG 2s,HANDEL o ^JUDAS_MACCABAEUS^ <ORATORIO>. V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI REINHOLD. END PART1: CN HN SPANDAU. END PART2: CN VN BARTHELEMON.,PA,,[LS; Burrows-Harris 720.],1773-03-12 18:30:00
1650,1651,HAY,HAY ORATORIO 73 [5TH],OS,B 5s; P 3s; FG 2s; SG 1s,ARNOLD o ^THE_PRODIGAL_SON^ <ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. SL VN AGUS-j; CN CL MAHON.,PA,,[LS; Burrows-Harris 720.],1773-03-12 18:30:00
1651,1652,H,EVANS 73,CB,,LEAD LINLEY-t2 (FROM BATH); V WEICHSELL~f. CN VN LINLEY-t2 [replaced SL VN LINLEY-t2]; CN OB FISCHER; SL VC CERVETTO-j <JUN>; PIECE HP EVANS <PIECES TRIPLE_HP>.,PA; PA 24 Feb,,,1773-03-15 19:00:00
1652,1653,A/W,BACH-ABEL 73 8TH,CS,,DIR BACH; [ABEL].,PA,Burrows-Harris 722,,1773-03-17 19:00:00
1653,1654,DL,DL ORATORIO 73 [6TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,handel o ^ALEXANDER_BALUS^. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2. END PART1: CN ORG STANLEY.,PA,Fanny Burney: Early Diary ed Ellis (London 1889) i.202-3,[LS.],1773-03-17 18:30:00
1654,1655,CG,CG ORATORIO 73 [6TH],OS,P 5s; B 4s; FG 3s; SG 2s,HANDEL o ^SAMSON^ <ORATORIO>. V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI REINHOLD. END PART1: CN HN SPANDAU. END PART2: CN ORG ARNE-m <MR>.    [replaced following programme:  1: PASTICCIO.  2: ARNE-ta o ^BEAUTY_AND_VIRTUE^ <SERENATA>.  3: ARNE-m ^THE_THUNDER_ODE^ <MR> (NEVER PERFORMED). CN vn BARTHELEMON; CN hn SPANDAU; CN org ARNE-m <MR>.],PA; PA 15 Mar,,[LS.],1773-03-17 18:30:00
1655,1656,HAY,HAY ORATORIO 73 [6TH],OS,B 5s; P 3s; FG 2s; SG 1s,CONCERTO SPIRITUALE.  1: PICCINNI OV; o ^MORNING_HYMN^ (BY SEVERAL COMPOSERS); SL VN AGUS-j.  2: GALUPPI o ^MISERERE^ (PERFORMED BUT ONCE IN THIS KINGDOM); CN CL MAHON.  3: PERGOLESI o ^DIXIT_DOMINUS^; CN FL FLORIO.  4: NEGRI o <ANTHEM>.,PA,,[LS.] Morning Hymn by Milton [cf 8 Apr 1772].,1773-03-17 18:30:00
1656,1657,H,MAZZINGHI-t AND SALPIETRO 73,CB,10s 6d,V SALPIETRO~ GERVASIO~ FRASI~ SAVOI. SL OB GIRELLI (1ST PERFORMANCE IN THIS KINGDOM); CN HN SPANDAU; CN BN EICHNER; SL VC CROSDILL; CNte VN VN MAZZINGHI-t SALPIETRO [or two CN VN ?],PA,,,
