,Composer,From,Genre,No,Title_of_Piece,Instrument_Num,Instrument,Performer
104,ARNE-TA,ARNE-TA O ^ROSAMOND^,SG,50,'RISE_GLORY!',0,0.0,0.0
105,HANDEL,HANDEL O ^ACIS_AND_GALATEA^,OV,55,0,0,0.0,0.0
106,0,0,SL,55,0,0,VN,JACKSON-1
107,HANDEL,0,O,55,^GOD_SAVE_THE_KING^,0,0.0,0.0
108,0,0,CH,55,0,0,0.0,0.0
109,0,0,SL,56,0,0,VN,COLLETT-r
110,0,0,CN,56,0,0,OB,EIFFERT
111,0,0,CN,56,0,0,HPD,BURNEY-c
112,0,0,CN,56,0,0,VC,EMINENT_MASTER
113,0,0,CN,56,0,0,FL,BALICOURT
114,0,0,LSN,61,0,0,HPD,SCOVELL
115,0,0,SL,61,0,0,VN,SCOVELL
116,ARNE-TA,0,OV,63,0,0,0.0,(NEW
117,0,0,SG,63,0,0,0.0,FRASI~
118,0,0,SG,63,'CHI_NON_ODE',0,0.0,GALLI~
119,0,0,SL,63,0,0,OB,LOGE
120,HANDEL,HANDEL O ^ALCINA^,SG,63,'DI_COR',0,0.0,ARNE~C
121,PALMA-2,0,SG,63,'SPESSO_MI',0,0.0,ARNE-M
122,ARNE-TA,0,CN,63,0,0,ORG,ARNE-m
123,ARNE-TA,0,OV,63,0,0,0.0,(NEW
124,0,0,SG,63,0,0,0.0,FRASI~
125,0,0,SG,63,'NON_A',0,0.0,GALLI~
126,HANDEL,HANDEL O ^ALCINA^,SG,63,'TORNA_MI',0,0.0,ARNE~C
127,HASSE,0,SG,63,'CHE_FURIA',0,0.0,ARNE-M
128,ARNE-TA,0,O,63,0,0,0.0,CHORUS
129,ARNE-TA,0,OV,63,0,0,0.0,(NEW
130,ARNE-TA,0,O,63,^THE_JUDGMENT_OF_PARIS^,0,v,FRASI~
131,0,0,SG,69,'THE_LADIES_CHOICE',0,0.0,0.0
132,0,0,SL,69,0,0,VC,PASQUALINO
133,0,0,CN,69,0,0,HPD,BUTLER
134,0,0,CN,69,0,0,BN,BAUMGARTEN-s
135,HANDEL,HANDEL O ^SAMSON^,OV,70,0,0,0.0,0.0
136,0,0,SG,70,0,0,0.0,GUADAGNI
137,PALMA-2,0,SG,70,0,0,0.0,CUZZONI~
138,0,0,CN,70,0,0,HPD,GAMBARINI~
139,HANDEL,0,SG,70,'FALSE_IMAGINE',0,0.0,CUZZONI~
140,HANDEL,0,CNGR,70,0,0,0.0,0.0
141,HANDEL,HANDEL ANTH,SYM,70,0,0,0.0,0.0
142,0,0,SG,70,0,0,0.0,PALMA-1
143,HANDEL,0,SG,70,'RETURN_O_GOD',0,0.0,CUZZONI~
144,GEMINIANI,0,CNGR,70,0,0,0.0,NO.3
145,0,0,DT,70,0,0,v,CUZZONI~
146,0,0,DT,70,0,1,v,GUADAGNI
147,CORELLI,0,CNGR,70,0,0,0.0,8TH
148,0,0,SL,71,0,0,VN,BROWN-a
149,0,0,CN,71,0,0,FL,LAWSON
150,0,0,SL,71,0,0,FL,LAWSON
151,HANDEL,0,O,72,^BELSHAZZAR^,0,0.0,0.0
152,0,0,CN,72,0,0,0.0,0.0
153,?,0,0,72,0,0,V,FRASI~
154,HANDEL,0,O,75,^BELSHAZZAR^,0,0.0,0.0
155,0,0,CN,75,0,0,0.0,0.0
156,HANDEL,0,O,76,^ALEXANDER'S_FEAST^,0,0.0,0.0
157,HANDEL,0,O,76,^THE_CHOICE_OF_HERCULES^,0,0.0,0.0
158,FRASI~,0,0,76,0,0,0.0,GUADAGNI
159,0,0,CN,76,0,0,0.0,0.0
160,0,0,SL,78,0,0,VC,PALOMINIANI
161,HANDEL,0,O,79,^ALEXANDER'S_FEAST^,0,0.0,0.0
162,HANDEL,0,O,79,^THE_CHOICE_OF_HERCULES^,0,0.0,0.0
163,0,0,CN,79,0,0,0.0,0.0
164,HANDEL,0,O,80,^ALEXANDER'S_FEAST^,0,0.0,0.0
165,HANDEL,0,O,80,^THE_CHOICE_OF_HERCULES^,0,0.0,0.0
166,0,0,CN,80,0,0,0.0,0.0
167,PURCELL,0,SG,82,'ROSIE_BOWER',0,0.0,0.0
168,HANDEL,0,SG,82,'RETURN_O_GOD',0,0.0,0.0
169,BOYCE,BOYCE O ^SOLOMON^,DT,82,0,0,V,?
170,BOYCE,BOYCE O ^SOLOMON^,DT,82,0,1,V,?
171,0,0,SL,82,0,0,VN,BROWN-a
172,PIECE,0,0,82,0,0,HP,PARRY-j
173,0,0,SL,82,0,0,VC,JONES-g
174,0,0,CN,82,0,0,VC,JONES-g
175,HANDEL,0,O,82,^ALEXANDER'S_FEAST^,0,0.0,HANDEL
176,HANDEL,0,O,83,^ALEXANDER'S_FEAST^,0,0.0,0.0
177,HANDEL,0,O,83,^THE_CHOICE_OF_HERCULES^,0,0.0,0.0
178,0,0,CN,83,0,0,0.0,0.0
179,PIECE,0,0,84,0,0,HP,PARRY-j
180,PIECE,0,0,84,0,0,HP,GWYNN
181,HANDEL,0,O,85,^ESTHER^,0,0.0,0.0
182,0,0,CN,85,0,0,0.0,0.0
183,HANDEL,0,O,86,^SAMSON^,0,0.0,?
184,HANDEL,0,O,88,^JUDAS_MACCABAEUS^,0,0.0,0.0
185,0,0,CN,88,0,0,0.0,0.0
186,?,0,0,88,0,0,V,LOWE
187,0,0,CN,89,0,0,FL,THUMOTH
188,IN,0,0,89,0,0,0.0,INSTRUMENT
189,PARADIES,0,OV,92,0,0,0.0,0.0
190,HANDEL,0,SG,92,'WHY_DOES',0,0.0,BEARD
191,CIAMPI,0,SG,92,'INFELICE_IN_VAN',0,0.0,FRASI~
192,0,0,CN,92,0,0,vc,PASQUALINO
193,HANDEL,0,SG,92,'FALSA_IMAGINE',0,0.0,CUZZONI~
194,RESTA,0,SG,92,'NON_PAVENTO',0,0.0,GUADAGNI
195,DUBOURG,0,CN,92,0,0,vn,DUBOURG
196,HANDEL,0,SG,92,'FATHER_OF',0,0.0,GALLI~
197,CHINZER,0,SG,92,'SE_VEDI',0,0.0,FRASI~
198,0,0,CN,92,0,0,bn,MILLER-j
199,HANDEL,0,SG,92,'BENCHE_MI',0,0.0,CUZZONI~
