,Composer,From,Genre,No,Title_of_Piece,Instrument_Num,Instrument,Performer
3527,0,0,SL,1223,0,0,FL,BLANK
3528,0,0,SG,1223,0,0,0.0,GENTLEMAN
3529,HANDEL,HANDEL ^ARIANNA_IN_CRETA^,OV,1223,0,0,0.0,0.0
3530,0,0,SG,1223,0,0,0.0,PHILLIPS-E
3531,0,0,SG,1223,0,0,0.0,FROUD~
3532,ABEL,0,SYM,1223,0,0,0.0,0.0
3533,0,0,SG,1223,0,0,0.0,BROWN-1
3534,HANDEL,0,O,1223,^CORONATION_ANTHEM^,0,0.0,0.0
3535,0,0,GL,1226,0,0,0.0,0.0
3536,PURCELL,0,CT,1226,0,0,0.0,0.0
3537,0,0,O,1226,^ODE_IN_HONOUR_OF_FREEMASONRY^,0,0.0,0.0
3538,PIECE,0,0,1229,0,0,0.0,STEGER
3539,0,0,PANTALEON,1234,0,0,0.0,NOEL
3540,0,0,SL,1238,0,0,OB,FISCHER
3541,0,0,CN,1238,0,0,VC,PAXTON
3542,[LATER,0,SL,1240,0,0,VN,PUGNANI
3543,0,0,SL,1240,0,0,OB,"FISCHER,"
3544,HANDEL,0,O,1241,^MESSIAH^,0,0.0,0.0
3545,0,0,CN,1241,0,0,OB,FISCHER
3546,0,0,SL,1241,0,0,VN,PINTO
3547,JOMMELLI,0,OV,1243,0,0,0.0,0.0
3548,NOEL,0,PANTALEON,1243,0,0,0.0,NOEL
3549,0,0,SG,1243,0,0,0.0,MORIGI-A2
3550,0,0,SL,1243,0,0,VN,KAMMELL
3551,0,0,PANTALEON,1243,0,0,0.0,NOEL
3552,NOEL,0,OV,1243,0,0,0.0,0.0
3553,0,0,DT,1243,0,0,v,PIATTI~
3554,0,0,DT,1243,0,1,v,MICHELLI
3555,0,0,CN,1243,0,0,FL,WEISS
3556,0,0,SL,1243,0,0,VC,SIPRUTINI
3557,JOMMELLI,0,O,1243,^TE_DEUM^,0,0.0,(GRAND
3558,NEVER,0,PANTALEON,1243,0,0,0.0,NOEL
3559,IN,0,CN,1244,0,0,BN,PLA-2
3560,IN,0,0,1244,0,0,0.0,PART
3561,0,0,CN,1244,0,0,FL,TACET
3562,HANDEL,0,O,1245,^JUDAS_MACCABAEUS^,0,0.0,0.0
3563,0,0,SL,1245,0,0,VN,GIARDINI
3564,0,0,CN,1245,0,0,OB,SIMPSON
3565,0,HANDEL) O ^GIDEON^  (NEW),CN,1246,0,0,VN,PUGNANI
3566,0,0,CN,1246,0,0,OB,FISCHER
3567,PICCINNI,0,O,1248,^THE_DEATH_OF_ABEL^,0,0.0,0.0
3568,0,0,SL,1248,0,0,VN,GIARDINI
3569,0,0,CN,1248,0,0,FL,FLORIO
3570,0,HANDEL) O ^GIDEON^  (NEW),CN,1249,0,0,OB,FISCHER
3571,[LATER,0,0,1249,0,0,0.0,PUGNANI
3572,0,0,CN,1249,0,0,VN,PUGNANI.]
3573,HANDEL,0,O,1251,^MESSIAH^,0,0.0,0.0
3574,0,0,SL,1251,0,0,VN,GIARDINI
3575,0,0,CN,1251,0,0,FL,FLORIO
3576,HANDEL,0,O,1252,^ACIS_AND_GALATEA^,0,0.0,0.0
3577,HANDEL,0,0,1252,^ode_for_st_cecilia's_day^,0,0.0,0.0
3578,0,0,SL,1252,0,0,VN,PUGNANI
3579,HANDEL,0,O,1255,^JUDAS_MACCABAEUS^,0,0.0,0.0
3580,0,0,CN,1255,0,0,OB,FISCHER
3581,HANDEL,0,O,1256,^SAMSON^,0,0.0,0.0
3582,0,0,SL,1256,0,0,VN,GIARDINI
3583,0,0,CN,1256,0,0,FL,FLORIO
3584,0,0,SL,1257,0,0,vn,PINTO
3585,0,0,SG,1257,0,0,0.0,JEWELL~
3586,0,0,SALTERIO,1257,0,0,0.0,PLA-2
3587,0,0,SG,1257,0,0,0.0,JEWELL~
3588,0,0,SL,1257,0,0,FL,TACET
3589,0,0,PANTALEON,1257,0,0,0.0,NOEL
3590,0,0,SL,1259,0,0,VN,PUGNANI
3591,0,0,SL,1259,0,0,OB,FISCHER
3592,ARNOLD,0,O,1260,^THE_CURE_OF_SAUL^,0,0.0,0.0
3593,0,0,SL,1260,0,0,VN,GIARDINI
3594,0,0,CN,1260,0,0,OB,SIMPSON
3595,HANDEL,0,O,1261,^JOSHUA^,0,0.0,0.0
3596,0,0,CN,1261,0,0,VN,PUGNANI
3597,HANDEL,0,O,1263,^MESSIAH^,0,0.0,0.0
3598,0,0,SL,1263,0,0,VN,GIARDINI
3599,0,0,CN,1263,0,0,FL,FLORIO
3600,HANDEL,0,O,1264,^SAMSON^,0,0.0,0.0
3601,0,0,CN,1264,0,0,OB,FISCHER
3602,HANDEL,0,O,1265,^JUDAS_MACCABAEUS^,0,0.0,0.0
3603,0,0,SL,1265,0,0,VN,GIARDINI
3604,0,0,CN,1265,0,0,OB,SIMPSON
3605,HANDEL,0,O,1266,^ISRAEL_IN_EGYPT^,0,0.0,0.0
3606,0,0,CN,1266,0,0,VN,PUGNANI
3607,HANDEL,0,O,1268,^SAMSON^,0,0.0,0.0
3608,0,0,SL,1268,0,0,VN,GIARDINI
3609,0,0,CN,1268,0,0,FL,FLORIO
3610,HANDEL,0,O,1269,^SAMSON^,0,0.0,0.0
3611,0,0,CN,1269,0,0,OB,FISCHER
3612,PIECE,0,0,1270,0,0,HP,EVANS
3613,0,0,SL,1271,0,0,0.0,FISCHER
3614,HANDEL,0,O,1272,^MESSIAH^,0,0.0,0.0
3615,0,0,SL,1272,0,0,VN,GIARDINI
3616,0,0,CN,1272,0,0,OB,SIMPSON
3617,HANDEL,0,O,1273,^JUDAS_MACCABAEUS^,0,0.0,0.0
3618,0,0,CN,1273,0,0,OB,FISCHER
3619,ARNOLD,0,O,1275,^THE_CURE_OF_SAUL^,0,0.0,0.0
3620,0,0,SL,1275,0,0,VN,GIARDINI
3621,0,0,CN,1275,0,0,FL,FLORIO
3622,HANDEL,0,O,1276,^MESSIAH^,0,0.0,0.0
3623,0,0,CN,1276,0,0,OB,FISCHER
3624,HANDEL,0,O,1277,^MESSIAH^,0,0.0,0.0
3625,0,0,SL,1277,0,0,VN,GIARDINI
3626,0,0,CN,1277,0,0,OB,SIMPSON
3627,HANDEL,0,O,1278,^MESSIAH^,0,0.0,0.0
3628,GEMINIANI,0,CNGR,1278,0,0,0.0,PUGNANI
3629,0,0,SL,1281,0,0,FL,TACET
3630,0,0,SL,1281,0,0,HP,EVANS
3631,GIARDINI,0,O,1282,^RUTH^,0,0.0,0.0
3632,BETWEEN,0,CN,1282,0,0,0.0,0.0
3633,0,0,SL,1284,0,0,FL,TACET
3634,0,0,LSN,1284,0,0,HP,EVANS
3635,0,0,SL,1286,0,0,FL,TACET
3636,0,0,LSN,1286,0,0,HP,EVANS
3637,0,0,LSN,1286,0,0,HPD,LOVE
3638,HANDEL,0,O,1287,^JUDAS_MACCABAEUS^,0,0.0,0.0
3639,0,0,CN,1287,0,0,VC,CERVETTO-gb
3640,0,0,SL,1287,0,0,VN,FISHER
3641,0,0,CN,1289,0,0,0.0,WEISS
3642,FIRST,0,0,1290,0,0,0.0,ENGLAND)
3643,0,0,CN,1290,0,0,0.0,FISCHER
3644,0,0,SL,1290,0,0,0.0,PUGNANI
3645,0,0,SL,1291,0,0,VN,LEONARDI
3646,PIECE,0,0,1291,0,0,0.0,WITH
3647,HANDEL,0,O,1291,^GOD_SAVE_THE_KING^,0,0.0,0.0
3648,JOMMELLI,0,OV,1293,0,0,0.0,0.0
3649,0,0,SG,1293,0,0,0.0,GERVASIO~
3650,0,0,CN,1293,0,0,OB,FISCHER
3651,0,0,SG,1293,0,0,0.0,GIUSTINELLI
3652,0,0,TR,1293,0,0,0.0,MERCHI
3653,KAMMELL,0,QT,1293,0,0,0.0,0.0
3654,0,0,SG,1293,0,0,GU,MERCHI
3655,GALUPPI,0,OV,1293,0,0,0.0,0.0
3656,0,0,SL,1293,0,0,VN,KAMMELL
3657,0,0,SG,1293,0,0,0.0,GIUSTINELLI
3658,0,0,CN,1293,0,0,VC,CIRRI
3659,0,0,SL,1293,0,0,0.0,MERCHI
3660,JOMMELLI,0,OV,1293,0,0,0.0,0.0
3661,[BURLETTA,0,0,1296,0,0,0.0,BEGINS
3662,WORK,0,O,1296,^THE_EPHESIAN_MATRON^,0,0.0,DIBDIN
3663,PERFORM,0,0,1298,0,0,0.0,BARTHELEMON
3664,PERFORM,0,0,1299,0,0,0.0,CROSDILL
3665,HANDEL,0,0,1301,^CORONATION_ANTHEM^,0,0.0,0.0
3666,ARNE-TA,0,O,1303,0,0,0.0,0.0
3667,ARNOLD,0,O,1306,0,0,0.0,0.0
3668,PIECE,0,0,1308,0,0,HP,WARNER
3669,ARNOLD,0,SG,1309,0,0,0.0,FORBES~
3670,0,0,CN,1309,0,0,ORG,HOOK
3671,0,0,SG,1309,0,0,0.0,BROWN-1
3672,0,0,CN,1309,0,0,OB,PARKE
3673,ARNOLD,0,SG,1309,0,0,0.0,PINTO~
3674,HOOK,0,O,1309,^LOVE_AND_INNOCENCE^,0,0.0,0.0
3675,ARNOLD,0,O,1311,^ODE_FOR_THE_PRINCE_OF_WALES'_BIRTHDAY^,0,0.0,CHORUSSES
3676,MUSIC,0,0,1311,0,0,0.0,NEW)
3677,0,0,CN,1311,0,0,ORG,HOOK
3678,0,0,CN,1311,0,0,VN,PINTO
3679,HOOK,0,O,1312,^LOVE_AND_INNOCENCE^,0,0.0,(NEW
3680,SECOND,0,0,1312,0,0,0.0,TIME)
3681,BETWEEN,0,CN,1312,0,0,OB,PARKE
3682,0,0,CN,1312,0,0,ORG,HOOK
3683,HOOK,0,O,1313,^LOVE_AND_INNOCENCE^,0,0.0,0.0
3684,AFTER,0,CN,1313,0,0,OB,PARKE
3685,AFTER,0,0,1313,0,0,0.0,PART
3686,0,0,CN,1313,0,0,VN,PINTO
3687,0,0,CN,1314,0,0,OB,PARKE
3688,0,0,CN,1314,0,0,VN,PINTO
3689,ARNOLD,0,O,1314,^ODE_FOR_THE_PRINCE_OF_WALES'_BIRTHDAY^,0,0.0,0.0
3690,ARNOLD,0,O,1315,^ODE_FOR_THE_PRINCE_OF_WALES'_BIRTHDAY^,0,0.0,0.0
3691,0,0,CN,1315,0,0,ORG,HOOK
3692,0,0,CN,1315,0,0,VN,PINTO
3693,ARNOLD,0,O,1317,^ODE_FOR_THE_PRINCE_OF_WALES'_BIRTHDAY^,0,0.0,0.0
3694,ARNOLD,0,O,1318,^ODE_TO_THE_HAYMAKERS^,0,0.0,0.0
3695,ARNOLD,0,O,1320,^ODE^,0,0.0,(NEW
3696,WITH,0,0,1320,0,0,0.0,CHORUSSES)
3697,0,0,O,1323,^ODE_for_THE_BIRTHDAY_OF_JOHN_WILKES^,0,0.0,0.0
3698,HANDEL,0,O,1329,^MESSIAH^,0,0.0,0.0
3699,0,0,CN,1329,0,0,VN,GIARDINI
3700,0,0,CN,1329,0,0,ORG,STANLEY
3701,LEAD,0,0,1330,0,0,0.0,BARTHELEMON
3702,0,0,CN,1330,0,0,HPD,ALESSANDRI
3703,0,0,SL,1330,0,0,VN,BARTHELEMON
3704,0,0,SL,1330,0,0,VC,CIRRI
3705,0,0,SL,1330,0,0,MAND,GERVASIO
3706,OPERA,0,0,1337,0,0,0.0,OPERA_ORCH
3707,BACH,BACH O ^ORIONE^,OV,1337,0,0,0.0,0.0
3708,0,0,SG,1337,0,0,0.0,PIATTI~
3709,0,0,CN,1337,0,0,BN,BAUMGARTEN-s
3710,0,0,SG,1337,0,0,0.0,BIANCHI-2
3711,0,0,SG,1337,0,0,0.0,GUGLIELMI~
3712,0,0,CN,1337,0,0,FL,TACET
3713,0,0,SG,1337,0,0,0.0,TENDUCCI
3714,0,0,SL,1337,0,0,VN,NOFERI
3715,0,0,SG,1337,0,0,0.0,GRASSI~
3716,0,0,DT,1337,0,0,v,TENDUCCI
3717,0,0,DT,1337,0,1,v,GUGLIELMI~
3718,0,0,CN,1337,0,0,VC,CIRRI
3719,0,0,SG,1337,0,0,0.0,TENDUCCI
3720,0,0,CN,1337,0,0,OB,FISCHER
3721,0,0,SG,1337,0,0,0.0,GUGLIELMI~
3722,0,0,QNT,1337,0,0,v,?
3723,0,0,QNT,1337,0,1,v,?
3724,0,0,QNT,1337,0,2,v,?
3725,0,0,QNT,1337,0,3,v,?
3726,0,0,QNT,1337,0,4,v,?
3727,HANDEL,0,CNGR,1337,0,0,0.0,0.0
3728,0,0,CN,1339,0,0,VC,PAXTON
3729,0,0,SL,1339,0,0,VN,DU_BOIS
3730,PIECE,0,0,1342,0,0,HPD,D'ARCIS
3731,D'ARCIS,0,CN,1342,0,0,HPD,"D'ARCIS,"
3732,JOMMELLI,0,O,1343,^LA_PASSIONE_di_gesu_cristo^,0,0.0,0.0
3733,END,0,SL,1343,0,0,HN,RODOLPHE
3734,END,0,0,1343,0,0,0.0,PART
3735,0,0,SL,1343,0,0,VC,DUPORT-jp
3736,HANDEL,0,O,1344,^SAMSON^,0,0.0,0.0
3737,0,0,CN,1344,0,0,OB,FISCHER
3738,HANDEL,0,O,1345,^MESSIAH^,0,0.0,0.0
3739,AFTER,0,SL,1345,0,0,VN,GIARDINI
3740,AFTER,0,0,1345,0,0,0.0,PART
3741,0,0,CN,1345,0,0,HN,RODOLPHE
3742,HANDEL,0,O,1347,^JUDAS_MACCABAEUS^,0,0.0,0.0
3743,0,0,CN,1347,0,0,ORG,STANLEY
3744,HANDEL,0,O,1348,^JUDAS_MACCABAEUS^,0,0.0,0.0
3745,0,0,SL,1348,0,0,VN,GIARDINI
3746,0,0,CN,1348,0,0,OB,FISCHER
3747,JOMMELLI,0,O,1349,^LA_PASSIONE_di_gesu_cristo^,0,0.0,0.0
3748,AFTER,0,SL,1349,0,0,HN,RODOLPHE
3749,END,0,0,1349,0,0,0.0,PART
3750,0,0,SL,1349,0,0,VN,LAHOUSSAYE
3751,PERGOLESI,0,O,1349,^STABAT_MATER^,0,0.0,0.0
3752,0,0,SL,1349,0,0,VC,DUPORT-jp
3753,GUGLIELMI,0,CH,1349,0,0,0.0,0.0
3754,0,0,TR,1349,0,0,vc,?vc
3755,0,0,O,1350,^GIDEON^,0,0.0,0.0
3756,0,0,CN,1350,0,0,OB,FISCHER
3757,0,0,SL,1350,0,0,VC,DUPORT-jp
3758,ARNOLD,0,O,1351,^THE_RESURRECTION^,0,0.0,(NEW
3759,NEVER,0,0,1351,0,0,0.0,PERFORMED)
3760,0,0,SL,1351,0,0,VN,GIARDINI
3761,0,0,CN,1351,0,0,HN,RODOLPHE
3762,0,0,SG,1352,0,0,0.0,TENDUCCI
3763,0,0,SG,1352,0,0,0.0,BARTHELEMON~M
3764,0,0,SG,1352,0,0,0.0,SCOTT~
3765,BETWEEN,0,O,1352,^CAPOCHIO_AND_DORINNA^,0,0.0,ARNE-TA
3766,0,0,CN,1352,0,0,VN,BARTHELEMON
3767,HANDEL,0,O,1354,^ALEXANDER'S_FEAST^,0,0.0,0.0
3768,HANDEL,0,O,1354,^CORONATION_ANTHEM^,0,0.0,0.0
3769,0,0,CN,1354,0,0,VN,BARTHELEMON
3770,0,0,SL,1354,0,0,VC,DUPORT-jp
3771,AFTER,HANDEL O ^RODELINDA^,SG,1354,'DOVE_SEI',0,0.0,GUADAGNI
3772,END,0,0,1354,0,0,0.0,PART
3773,HANDEL,HANDEL O ^OTTONE^,SG,1354,'DOPPO_L'ORRORE',0,0.0,GUADAGNI
3774,HANDEL,0,O,1355,^SAMSON^,0,0.0,0.0
3775,0,0,SL,1355,0,0,VN,GIARDINI
3776,0,0,CN,1355,0,0,OB,FISCHER
3777,JOMMELLI,0,O,1356,^LA_PASSIONE_di_gesu_cristo^,0,0.0,0.0
3778,AFTER,0,SL,1356,0,0,HN,RODOLPHE
3779,END,0,0,1356,0,0,0.0,PART
3780,0,0,SL,1356,0,0,VN,LAHOUSSAYE
3781,PERGOLESI,0,O,1356,^STABAT_MATER^,0,0.0,0.0
3782,0,0,SL,1356,0,0,VC,DUPORT-jp
3783,GUGLIELMI,0,CH,1356,0,0,0.0,0.0
3784,0,0,TR,1356,0,0,vc,?vc
3785,HANDEL,0,O,1357,^ACIS_AND_GALATEA^,0,0.0,0.0
3786,HANDEL,0,O,1357,^ode_for_st_cecilia's_day^,0,0.0,0.0
3787,0,0,CN,1357,0,0,OB,FISCHER
3788,0,0,SL,1357,0,0,VC,DUPORT-jp
3789,AFTER,0,0,1357,0,0,0.0,PART
3790,HANDEL,HANDEL O ^RODELINDA^,SG,1357,'DOVE_SEI',0,0.0,GUADAGNI
3791,JOMMELLI,0,O,1358,^la_passione_di_gesu_cristo^,0,0.0,<NICCOLO_JOMELLI
3792,SACRED,0,CH,1358,0,0,0.0,LEO
3793,GRAUN,0,0,1358,0,0,0.0,CH)
3794,0,0,SL,1358,0,0,VN,GIARDINI
3795,0,0,CN,1358,0,0,HN,RODOLPHE
3796,HANDEL,0,O,1360,^JUDAS_MACCABAEUS^,0,0.0,0.0
3797,0,0,SL,1360,0,0,VC,DUPORT-jp
3798,HANDEL,0,O,1361,^MESSIAH^,0,0.0,0.0
3799,0,0,SL,1361,0,0,VN,GIARDINI
3800,0,0,CN,1361,0,0,OB,FISCHER
3801,BETWEEN,0,0,1361,0,0,0.0,PARTS2-
3802,GLUCK,0,SG,1361,0,0,0.0,TENDUCCI
3803,PIECE,0,0,1362,0,0,HP,EVANS
3804,BACH,0,O,1363,^GIOAS_RE_DI_GIUDA^,0,0.0,0.0
3805,IN,0,SG,1363,0,0,HN,RODOLPHE
3806,END,0,CN,1363,0,0,VN,LAHOUSSAYE
3807,IN,0,0,1363,0,0,0.0,PART
3808,0,0,SL,1363,0,0,VC,DUPORT-jp
3809,HANDEL,0,O,1364,^MESSIAH^,0,0.0,0.0
3810,0,0,CN,1364,0,0,OB,FISCHER
3811,0,0,SL,1364,0,0,VC,DUPORT-jp
3812,ARNOLD,0,O,1365,^THE_RESURRECTION^,0,0.0,(NEW
3813,PERFORMED,0,0,1365,0,0,0.0,ONCE)
3814,0,0,SL,1365,0,0,VN,GIARDINI
3815,0,0,CN,1365,0,0,HN,RODOLPHE
3816,0,0,CN,1366,0,0,PF,BACH
3817,0,0,CN,1366,0,0,OB,FISCHER
3818,HANDEL,0,O,1367,^ALEXANDER'S_FEAST^,0,0.0,0.0
3819,HANDEL,0,O,1367,^CORONATION_ANTHEM^,0,0.0,0.0
3820,0,0,SL,1367,0,0,VN,BARTHELEMON
3821,0,0,SL,1367,0,0,VC,DUPORT-jp
3822,0,0,O,1368,^ISRAEL_IN_BABYLON^,0,0.0,0.0
3823,0,0,SL,1368,0,0,VN,GIARDINI
3824,0,0,CN,1368,0,0,OB,FISCHER
3825,0,0,SL,1369,0,0,VN,BARTHELEMON
3826,0,0,SL,1369,0,0,VC,CROSDILL
3827,BACH,0,O,1370,^GIOAS_RE_DI_GIUDA^,0,0.0,0.0
3828,END,0,CN,1370,0,0,VN,LAHOUSSAYE
3829,IN,0,SL,1370,0,0,VC,DUPORT-jp
3830,IN,0,0,1370,0,0,0.0,PART
3831,0,0,SG,1370,0,0,vc,DUPORT-jp
3832,HANDEL,0,O,1371,^SAMSON^,0,0.0,0.0
3833,0,0,CN,1371,0,0,OB,FISCHER
3834,0,0,SL,1371,0,0,VC,DUPORT-jp
3835,ARNOLD,0,O,1372,^THE_RESURRECTION^,0,0.0,(NEW
3836,THIRD,0,0,1372,0,0,0.0,TIME)
3837,0,0,SL,1372,0,0,VN,GIARDINI
3838,0,0,SL,1372,0,0,VC,CROSDILL
3839,0,0,SL,1373,0,0,VN,BARTHELEMON
3840,0,0,CN,1373,0,0,HPD,BACH
3841,0,0,SL,1373,0,0,VDAG,ABEL
3842,0,0,SL,1373,0,0,OB,FISCHER
3843,HANDEL,0,O,1375,^MESSIAH^,0,0.0,0.0
3844,0,0,DT,1375,0,0,VC,DUPORT-jp
3845,0,0,DT,1375,0,1,VC,DUPORT-jl
3846,PICCINNI,0,O,1376,^THE_DEATH_OF_ABEL^,0,0.0,0.0
3847,0,0,SL,1376,0,0,VN,GIARDINI
3848,0,0,CN,1376,0,0,OB,FISCHER
3849,BACH,0,O,1377,^GIOAS_RE_DI_GIUDA^,0,0.0,0.0
3850,END,0,CN,1377,0,0,VN,LAHOUSSAYE
3851,IN,0,SL,1377,0,0,VC,DUPORT-jp
3852,IN,0,0,1377,0,0,0.0,PART
3853,0,0,SG,1377,0,0,vc,DUPORT-jp
3854,HANDEL,0,O,1378,^MESSIAH^,0,0.0,0.0
3855,0,0,CN,1378,0,0,OB,FISCHER
3856,0,0,SL,1378,0,0,VC,DUPORT-jp
3857,ARNOLD,0,O,1379,^THE_RESURRECTION^,0,0.0,(NEW
3858,FOURTH,0,0,1379,0,0,0.0,TIME)
3859,0,0,SL,1379,0,0,VN,GIARDINI
3860,0,0,SL,1379,0,0,VC,CROSDILL
3861,PERGOLESI,0,O,1380,^STABAT_MATER^,0,0.0,0.0
3862,0,0,CN,1380,0,0,OB,FISCHER
3863,0,0,SL,1380,0,0,VC,DUPORT-jp
3864,HANDEL,0,O,1381,^MESSIAH^,0,0.0,0.0
3865,0,0,CN,1381,0,0,VN,GIARDINI
3866,0,0,CN,1381,0,0,OB,FISCHER
3867,0,0,CN,1382,0,0,ORG,BURNEY-cr
3868,JOMMELLI,0,O,1383,^LA_PASSIONE_di_gesu_cristo^,0,0.0,(PART1
3869,WITH,0,0,1383,0,0,0.0,CHORUSSES)
3870,PERGOLESI,0,O,1383,^STABAT_MATER^,0,0.0,0.0
3871,BETWEEN,0,SL,1383,0,0,VC,DUPORT-jp
3872,GUGLIELMI,0,CH,1383,0,0,0.0,0.0
3873,GIARDINI,0,O,1384,^RUTH^,0,0.0,0.0
3874,0,0,CN,1384,0,0,VN,GIARDINI
3875,0,0,SL,1388,0,0,0.0,BARTHELEMON
3876,BARTHELEMON,0,O,1388,^LA_DANZA^,0,0.0,0.0
3877,0,0,SL,1391,0,0,VN,BARTHELEMON
3878,0,0,SL,1391,0,0,VC,CIRRI
3879,GUGLIELMI,0,O,1392,^L'ISOLA_DISABITATA^,0,0.0,0.0
3880,HANDEL,0,O,1393,^JUDAS_MACCABAEUS^,0,0.0,0.0
3881,0,0,SL,1393,0,0,VN,GIARDINI
3882,0,0,SL,1393,0,0,VC,DUPORT-jp
3883,0,0,0,1395,0,0,i,BACH
3884,0,0,SL,1398,0,0,VN,BARTHELEMON
3885,0,0,CN,1399,0,0,VN,BARTHELEMON
3886,0,0,CN,1399,0,0,ORG,HOOK
3887,0,0,CN,1399,0,0,VC,DUPORT-jp
3888,0,0,SG,1399,0,0,0.0,BANNISTER
3889,[BURLETTA,0,0,1401,0,0,0.0,BEGINS
3890,WORKS,0,O,1401,^THE_MAID_THE_MISTRESS^,0,0.0,DIBDIN
3891,DIBDIN,0,O,1401,^THE_EPHESIAN_MATRON^,0,0.0,0.0
3892,DIBDIN,0,O,1401,^THE_RECRUITING_SERGEANT^,0,0.0,0.0
3893,0,0,CN,1402,0,0,ORG,HOOK
3894,0,0,O,1402,^ODE_FOR_THE_KING'S_BIRTHDAY^,0,V,REINHOLD
3895,0,0,SG,1402,0,0,0.0,BANNISTER
3896,0,0,SL,1403,0,0,VN,GIARDINI
3897,0,0,CH,1403,0,0,0.0,BOYS_OF_CR
3898,0,0,SG,1404,0,0,0.0,BROWN-1
3899,0,0,SG,1404,0,0,0.0,SCOTT~
3900,0,0,SG,1404,0,0,0.0,WRIGHTEN~
3901,JOMMELLI,0,O,1405,^LA_PASSIONE_di_gesu_cristo^,0,0.0,(PART1
3902,WITH,0,0,1405,0,0,V,GUADAGNI
3903,0,0,CN,1405,0,0,FL,TACET
3904,PERGOLESI,0,O,1405,0,0,V,GUADAGNI
3905,0,0,SL,1405,0,0,VC,CIRRI
3906,GUGLIELMI,0,CH,1405,0,0,0.0,0.0
3907,[BURLETTA,0,0,1406,0,0,0.0,BEGINS
3908,WORKS,0,O,1406,^LA_SERVA_PADRONA^,0,0.0,(^THE_SERVANT_MISTRESS^
3909,ADDITIONS,0,0,1406,0,0,0.0,ARNOLD)
3910,BARTHELEMON,0,O,1406,^THE_MAGIC_GIRDLE^,0,0.0,0.0
3911,0,0,CN,1407,0,0,VN,BARTHELEMON
3912,0,0,SG,1407,0,0,0.0,BANNISTER
3913,ARNOLD,0,O,1408,^THE_REVENGE^,0,0.0,0.0
3914,0,0,SL,1409,0,0,VN,BARTHELEMON
3915,0,0,CN,1409,0,0,ORG,HOOK
3916,0,0,SG,1409,0,0,0.0,BANNISTER
3917,ALSO,0,0,1410,0,0,0.0,BARTHELEMON
3918,0,0,SL,1410,0,0,VN,BARTHELEMON
3919,0,0,CN,1410,0,0,ORG,HOOK
3920,0,0,CN,1410,0,0,TPT,YOUNG_GENTLEMAN
3921,ALSO,0,0,1411,0,0,V,REINHOLD
3922,0,0,SG,1411,0,0,0.0,BANNISTER
3923,ALSO,0,0,1412,0,0,0.0,BARTHELEMON
3924,0,0,SL,1412,0,0,VN,BARTHELEMON
3925,0,0,CN,1412,0,0,ORG,HOOK
3926,0,0,SG,1412,0,0,0.0,BANNISTER
3927,ALSO,0,0,1413,0,0,V,CHENEY
3928,0,0,SG,1413,0,0,0.0,BANNISTER
3929,0,0,CN,1413,0,0,VN,BARTHELEMON
3930,ALSO,0,0,1414,0,0,0.0,BARTHELEMON
3931,0,0,SL,1414,0,0,VN,BARTHELEMON
3932,0,0,SG,1414,0,0,0.0,BARTHELEMON~M
3933,0,0,SG,1414,0,0,0.0,BANNISTER
3934,PIECE,0,0,1415,0,0,HP,WARNER
3935,ALSO,0,0,1416,0,0,0.0,BARTHELEMON
3936,0,0,SG,1416,0,0,0.0,BANNISTER
3937,0,0,CN,1416,0,0,VN,BARTHELEMON
3938,BARTHELEMON,0,CN,1416,0,0,ORG,CARTER-ct
3939,BARTHELEMON,0,CNTE,1416,0,0,HN,ROGERS-1
3940,BARTHELEMON,0,CNTE,1416,0,1,TPT,GREEN
3941,BARTHELEMON,0,SYM,1416,0,0,0.0,0.0
3942,0,0,GL,1416,0,0,0.0,0.0
3943,0,BARTHELEMON O ^THE_MAGIC_GIRDLE^,0,1416,0,0,0.0,0.0
3944,ALSO,0,0,1417,0,0,0.0,BARTHELEMON
3945,0,0,SL,1417,0,0,VN,BARTHELEMON
3946,ALSO,0,0,1419,0,0,0.0,BARTHELEMON
3947,0,0,SG,1419,0,0,0.0,BANNISTER
3948,0,0,CN,1419,0,0,VN,BARTHELEMON
3949,0,0,CN,1419,0,0,ORG,HOOK
3950,CORELLI,0,CNGR,1419,0,0,0.0,4TH
3951,ALSO,0,0,1420,0,0,0.0,FISHER
3952,0,0,SG,1420,0,0,0.0,BANNISTER
3953,0,0,SL,1420,0,0,VN,FISHER
3954,0,0,CN,1420,0,0,ORG,HOOK
3955,0,0,CN,1420,0,0,HN,COHEN
3956,ALSO,0,0,1421,0,0,V,CHENEY
3957,0,0,SG,1421,0,0,0.0,BANNISTER
3958,ALSO,0,0,1422,0,0,V,CHENEY
3959,BARTHELEMON,0,SG,1422,0,0,0.0,BARTHELEMON~M
3960,ALSO,0,0,1423,0,0,0.0,BARTHELEMON
3961,0,0,CN,1423,0,0,VN,BARTHELEMON
3962,HANDEL,0,O,1424,^MESSIAH^,0,0.0,0.0
3963,0,0,CN,1424,0,0,VN,HAY-r
3964,BACH,0,O,1429,^GIOAS_RE_DI_GIUDA^,0,0.0,0.0
3965,END,0,SL,1429,0,0,VC,DUPORT-jp
3966,IN,0,CN,1429,0,0,VN,SIRMEN~
3967,IN,0,0,1429,0,0,0.0,PART
3968,0,0,SG,1429,0,0,vc,DUPORT-jp
3969,BACH,0,O,1431,^GIOAS_RE_DI_GIUDA^,0,0.0,0.0
