0,1,2,3,4,No
0.0,7.0,,,,3567
0.0,5.0,,,,3568
0.0,7.0,,,,3569
0.0,5.0,,,,3570
1.0,9.0,,,,3571
0.0,7.0,,,,3572
0.0,5.0,,,,3573
0.0,5.0,,,,3574
0.0,6.0,,,,3575
0.0,5.0,,,,3576
0.0,5.0,,,,3577
1.0,10.0,,,,3578
0.0,5.0,,,,3579
0.0,6.0,,,,3580
1.0,10.0,,,,3581
0.0,5.0,,,,3583
0.0,5.0,,,,3585
0.0,5.0,,,,3586
0.0,6.0,,,,3587
0.0,5.0,,,,3588
0.0,9.0,,,,3589
0.0,6.0,,,,3590
0.0,5.0,,,,3591
0.0,10.0,,,,3592
0.0,5.0,,,,3593
0.0,8.0,,,,3594
0.0,5.0,,,,3595
0.0,5.0,,,,3596
0.0,7.0,,,,3597
0.0,5.0,,,,3598
0.0,6.0,,,,3600
0.0,5.0,,,,3601
0.0,5.0,,,,3602
0.0,5.0,,,,3604
0.0,8.0,,,,3607
0.0,5.0,,,,3608
0.0,6.0,,,,3609
0.0,8.0,,,,3614
0.0,4.0,,,,3616
1.0,10.0,,,,3617
0.0,4.0,,,,3618
0.0,5.0,,,,3620
0.0,5.0,,,,3621
0.0,3.0,,,,3623
1.0,9.0,,,,3625
0.0,5.0,,,,3627
2.0,,,,,3628
1.0,,,,,3630
1.0,2.0,,,,3631
0.0,5.0,,,,3632
3.0,,,,,3633
1.0,,,,,3634
0.0,6.0,,,,3635
2.0,,,,,3637
0.0,5.0,,,,3638
2.0,,,,,3640
3.0,,,,,3642
2.0,,,,,3643
0.0,6.0,,,,3644
2.0,,,,,3647
0.0,5.0,,,,3648
0.0,4.0,,,,3650
0.0,5.0,,,,3652
1.0,,,,,3653
1.0,,,,,3654
2.0,,,,,3655
3.0,,,,,3658
0.0,4.0,,,,3659
0.0,4.0,,,,3661
0.0,5.0,,,,3662
1.0,8.0,,,,3663
2.0,10.0,,,,3664
0.0,5.0,,,,3665
0.0,5.0,,,,3666
0.0,4.0,,,,3667
1.0,9.0,,,,3669
0.0,6.0,,,,3670
0.0,8.0,,,,3671
1.0,7.0,,,,3673
0.0,8.0,,,,3674
0.0,5.0,,,,3676
0.0,7.0,,,,3677
0.0,6.0,,,,3678
0.0,4.0,,,,3679
0.0,6.0,,,,3680
0.0,8.0,,,,3681
0.0,5.0,,,,3683
0.0,8.0,,,,3684
0.0,5.0,,,,3687
0.0,6.0,,,,3689
0.0,8.0,,,,3690
0.0,1.0,,,,3694
0.0,2.0,,,,3695
0.0,6.0,,,,3697
2.0,10.0,,,,3698
0.0,10.0,,,,3699
0.0,6.0,,,,3700
0.0,9.0,,,,3701
3.0,5.0,,,,3703
0.0,5.0,,,,3705
0.0,9.0,,,,3706
1.0,,,,,3708
0.0,7.0,,,,3710
2.0,,,,,3712
0.0,9.0,,,,3714
1.0,,,,,3715
0.0,9.0,,,,3719
1.0,,,,,3724
0.0,9.0,,,,3728
2.0,,,,,3729
9.0,,,,,3730
0.0,6.0,,,,3731
1.0,,,,,3732
9.0,,,,,3733
0.0,9.0,,,,3734
2.0,,,,,3737
0.0,8.0,,,,3739
0.0,9.0,,,,3741
1.0,9.0,,,,3742
0.0,5.0,,,,3743
0.0,9.0,,,,3744
0.0,6.0,,,,3745
0.0,5.0,,,,3747
0.0,7.0,,,,3748
0.0,7.0,,,,3749
0.0,5.0,,,,3750
0.0,8.0,,,,3752
0.0,5.0,,,,3754
0.0,5.0,,,,3755
0.0,6.0,,,,3757
0.0,5.0,,,,3758
0.0,6.0,,,,3760
0.0,5.0,,,,3761
0.0,8.0,,,,3762
0.0,13.0,,,,3764
0.0,6.0,,,,3766
0.0,5.0,,,,3768
1.0,8.0,,,,3769
1.0,5.0,7.0,,,3770
1.0,4.0,,,,3771
1.0,6.0,,,,3772
3.0,,,,,3773
0.0,5.0,,,,3774
2.0,,,,,3775
0.0,5.0,,,,3776
4.0,,,,,3777
1.0,,,,,3779
0.0,5.0,,,,3780
3.0,,,,,3781
2.0,,,,,3782
0.0,5.0,,,,3783
0.0,6.0,,,,3784
2.0,,,,,3785
0.0,5.0,,,,3786
3.0,,,,,3788
0.0,6.0,,,,3789
2.0,,,,,3790
0.0,6.0,,,,3791
0.0,5.0,,,,3792
0.0,6.0,,,,3793
0.0,8.0,,,,3794
0.0,5.0,,,,3795
0.0,6.0,,,,3796
0.0,8.0,,,,3797
0.0,6.0,,,,3798
0.0,5.0,,,,3799
0.0,5.0,,,,3800
0.0,5.0,,,,3801
0.0,5.0,,,,3802
0.0,7.0,,,,3803
0.0,7.0,,,,3804
0.0,5.0,,,,3805
0.0,7.0,,,,3806
0.0,5.0,,,,3807
0.0,5.0,,,,3808
0.0,5.0,,,,3809
0.0,6.0,,,,3810
0.0,9.0,,,,3811
0.0,5.0,,,,3813
0.0,5.0,,,,3814
0.0,6.0,,,,3815
0.0,6.0,,,,3816
0.0,5.0,,,,3817
0.0,9.0,,,,3818
0.0,5.0,,,,3819
0.0,5.0,,,,3821
1.0,6.0,,,,3822
1.0,9.0,,,,3823
2.0,,,,,3824
3.0,,,,,3825
1.0,6.0,,,,3826
1.0,3.0,,,,3827
1.0,3.0,,,,3828
1.0,6.0,,,,3829
2.0,,,,,3830
1.0,3.0,,,,3833
1.0,,,,,3836
0.0,4.0,,,,3837
3.0,,,,,3839
2.0,,,,,3840
0.0,7.0,,,,3843
0.0,8.0,,,,3844
0.0,10.0,,,,3845
0.0,5.0,,,,3846
0.0,11.0,,,,3847
0.0,4.0,,,,3848
0.0,4.0,,,,3849
0.0,8.0,,,,3850
0.0,5.0,,,,3851
0.0,5.0,,,,3853
0.0,4.0,,,,3854
0.0,6.0,,,,3855
0.0,7.0,,,,3857
1.0,6.0,,,,3859
0.0,5.0,,,,3861
0.0,5.0,,,,3862
1.0,10.0,,,,3863
2.0,,,,,3864
1.0,,,,,3865
1.0,3.0,,,,3866
0.0,5.0,,,,3867
3.0,,,,,3869
0.0,4.0,,,,3870
2.0,,,,,3871
3.0,,,,,3872
0.0,6.0,,,,3873
3.0,,,,,3874
2.0,,,,,3875
2.0,,,,,3877
2.0,,,,,3879
0.0,6.0,,,,3881
0.0,11.0,,,,3883
0.0,5.0,,,,3884
6.0,,,,,3885
0.0,6.0,,,,3887
0.0,5.0,,,,3888
0.0,8.0,,,,3890
0.0,6.0,,,,3891
0.0,6.0,,,,3892
0.0,7.0,,,,3893
0.0,5.0,,,,3896
1.0,9.0,,,,3897
1.0,6.0,,,,3900
0.0,8.0,,,,3901
2.0,,,,,3904
2.0,,,,,3905
2.0,,,,,3906
2.0,,,,,3907
2.0,,,,,3908
1.0,,,,,3909
2.0,,,,,3910
2.0,,,,,3911
0.0,5.0,,,,3912
2.0,,,,,3913
0.0,5.0,,,,3916
0.0,6.0,,,,3917
0.0,5.0,,,,3919
0.0,11.0,,,,3920
0.0,5.0,,,,3921
0.0,6.0,,,,3922
0.0,7.0,,,,3923
0.0,5.0,,,,3924
0.0,8.0,,,,3925
0.0,5.0,,,,3927
0.0,7.0,,,,3928
3.0,,,,,3929
0.0,6.0,,,,3930
0.0,5.0,,,,3931
0.0,6.0,,,,3933
0.0,6.0,,,,3934
0.0,3.0,,,,3936
0.0,8.0,,,,3937
0.0,6.0,,,,3944
0.0,6.0,,,,3945
0.0,4.0,,,,3946
1.0,7.0,,,,3947
1.0,,,,,3948
1.0,,,,,3951
0.0,5.0,,,,3952
2.0,,,,,3953
0.0,5.0,,,,3954
0.0,6.0,,,,3956
1.0,2.0,,,,3957
0.0,7.0,,,,3958
4.0,,,,,3959
0.0,6.0,,,,3960
1.0,3.0,,,,3961
3.0,,,,,3962
0.0,6.0,,,,3964
3.0,,,,,3967
0.0,6.0,,,,3968
4.0,,,,,3969
2.0,,,,,3970
0.0,6.0,,,,3971
0.0,9.0,,,,3972
0.0,6.0,,,,3973
0.0,6.0,,,,3974
0.0,6.0,,,,3975
0.0,6.0,,,,3976
0.0,6.0,,,,3977
0.0,6.0,,,,3978
0.0,6.0,,,,3979
0.0,7.0,,,,3981
0.0,5.0,,,,3982
0.0,5.0,,,,3983
0.0,6.0,,,,3985
1.0,,,,,3987
0.0,5.0,,,,3991
0.0,8.0,,,,3992
0.0,7.0,,,,3995
