0,1,2,3,4,No
0.0,5.0,,,,2348
0.0,6.0,,,,2357
0.0,6.0,,,,2360
0.0,6.0,,,,2363
0.0,7.0,,,,2366
0.0,6.0,,,,2369
0.0,6.0,,,,2371
0.0,6.0,,,,2374
0.0,5.0,,,,2375
0.0,4.0,,,,2376
0.0,5.0,,,,2378
0.0,7.0,,,,2379
0.0,6.0,,,,2382
0.0,5.0,,,,2383
0.0,5.0,,,,2384
0.0,5.0,,,,2386
0.0,5.0,,,,2388
0.0,5.0,,,,2391
0.0,5.0,,,,2392
0.0,4.0,,,,2393
0.0,5.0,,,,2394
0.0,5.0,,,,2397
0.0,5.0,,,,2402
0.0,5.0,,,,2406
0.0,5.0,,,,2413
0.0,5.0,,,,2419
0.0,5.0,11.0,,,2432
0.0,5.0,,,,2433
0.0,5.0,,,,2434
0.0,6.0,,,,2435
0.0,6.0,,,,2438
0.0,5.0,,,,2440
0.0,7.0,,,,2444
0.0,6.0,,,,2445
0.0,7.0,,,,2446
0.0,5.0,12.0,,,2449
0.0,6.0,,,,2450
0.0,6.0,,,,2451
0.0,5.0,,,,2454
0.0,4.0,,,,2457
0.0,5.0,10.0,,,2462
0.0,8.0,,,,2472
0.0,8.0,,,,2477
0.0,5.0,,,,2485
0.0,6.0,,,,2486
0.0,6.0,,,,2496
0.0,5.0,,,,2499
0.0,5.0,,,,2501
0.0,6.0,,,,2505
0.0,7.0,,,,2522
0.0,7.0,,,,2525
0.0,4.0,,,,2527
0.0,6.0,,,,2529
0.0,7.0,12.0,,,2530
0.0,5.0,,,,2534
0.0,6.0,,,,2536
0.0,6.0,,,,2538
0.0,6.0,,,,2542
0.0,6.0,,,,2546
0.0,6.0,,,,2549
0.0,6.0,,,,2550
0.0,7.0,,,,2552
0.0,5.0,,,,2554
0.0,6.0,,,,2555
0.0,7.0,,,,2557
0.0,6.0,,,,2558
0.0,7.0,,,,2559
0.0,6.0,,,,2560
0.0,6.0,,,,2563
1.0,8.0,,,,2564
0.0,5.0,,,,2565
0.0,6.0,,,,2566
0.0,5.0,,,,2567
1.0,,,,,2568
0.0,6.0,,,,2569
0.0,1.0,,,,2571
0.0,8.0,,,,2572
0.0,6.0,,,,2573
1.0,7.0,,,,2574
0.0,3.0,,,,2576
0.0,5.0,,,,2577
1.0,2.0,4.0,,,2578
0.0,5.0,10.0,,,2579
1.0,2.0,4.0,,,2580
0.0,5.0,10.0,,,2581
1.0,3.0,4.0,,,2582
0.0,4.0,9.0,,,2585
0.0,1.0,,,,2590
0.0,7.0,,,,2592
0.0,6.0,,,,2593
0.0,6.0,,,,2595
